"symbol","date","open","high","low","close","volume","adjusted"
"HAPV3",2018-04-26,5.8,5.85,5.434,5.568,29354000,5.434865
"HAPV3",2018-04-27,5.598,5.73,5.5,5.6,13982500,5.466099
"HAPV3",2018-04-30,5.57,5.6,5.51,5.53,5555500,5.397774
"HAPV3",2018-05-02,5.4,5.59,5.4,5.462,6425000,5.331399
"HAPV3",2018-05-03,5.422,5.58,5.36,5.498,11859000,5.366539
"HAPV3",2018-05-04,5.534,5.534,5.28,5.35,9492000,5.222077
"HAPV3",2018-05-07,5.33,5.4,5.32,5.4,5628000,5.270882
"HAPV3",2018-05-08,5.43,5.46,5.36,5.4,4736000,5.270882
"HAPV3",2018-05-09,5.4,5.418,5.314,5.38,4996000,5.25136
"HAPV3",2018-05-10,5.42,5.528,5.356,5.44,5946500,5.309927
"HAPV3",2018-05-11,5.498,5.64,5.496,5.52,8790000,5.388012
"HAPV3",2018-05-14,5.578,5.588,5.464,5.464,5256500,5.333351
"HAPV3",2018-05-15,5.62,5.82,5.6,5.79,13513000,5.651556
"HAPV3",2018-05-16,5.79,5.962,5.71,5.962,8844000,5.819444
"HAPV3",2018-05-17,6,6.196,6,6.06,7808000,5.915101
"HAPV3",2018-05-18,6.06,6.06,5.846,5.92,14701000,5.778449
"HAPV3",2018-05-21,5.94,6.218,5.8,6.16,9509000,6.012709
"HAPV3",2018-05-22,6.16,6.56,6.16,6.55,6941500,6.393384
"HAPV3",2018-05-23,6.55,6.55,6.2,6.538,7315000,6.381672
"HAPV3",2018-05-24,6.36,6.404,6.084,6.1,12331500,5.954145
"HAPV3",2018-05-25,6.062,6.206,6.006,6.198,8436500,6.049801
"HAPV3",2018-05-28,6.198,6.198,5.806,5.9,6411500,5.758927
"HAPV3",2018-05-29,5.96,6.07,5.77,5.952,2629500,5.809684
"HAPV3",2018-05-30,6.02,6.15,5.838,6,7408000,5.856535
"HAPV3",2018-06-01,6.126,6.198,5.798,5.978,5865500,5.835061
"HAPV3",2018-06-04,6.04,6.16,5.922,6.06,4560000,5.915101
"HAPV3",2018-06-05,6.02,6.02,5.76,5.854,3595500,5.714026
"HAPV3",2018-06-06,5.804,5.836,5.58,5.696,6656500,5.559804
"HAPV3",2018-06-07,5.696,5.696,5.37,5.52,8206000,5.388012
"HAPV3",2018-06-08,5.446,5.678,5.4,5.53,6645000,5.397774
"HAPV3",2018-06-11,5.564,5.65,5.39,5.56,3034000,5.427056
"HAPV3",2018-06-12,5.56,5.694,5.468,5.616,3053500,5.481717
"HAPV3",2018-06-13,5.622,5.622,5.306,5.348,11790500,5.220125
"HAPV3",2018-06-14,5.34,5.478,5.32,5.404,8048500,5.274787
"HAPV3",2018-06-15,5.404,5.41,5.13,5.4,5843500,5.270882
"HAPV3",2018-06-18,5.4,5.4,5.24,5.276,6980000,5.149847
"HAPV3",2018-06-19,5.316,5.678,5.26,5.57,2394000,5.436818
"HAPV3",2018-06-20,5.602,5.84,5.58,5.76,2124000,5.622274
"HAPV3",2018-06-21,5.7,5.836,5.47,5.642,3703500,5.507096
"HAPV3",2018-06-22,5.602,5.84,5.546,5.8,4482000,5.661318
"HAPV3",2018-06-25,5.864,5.9,5.76,5.9,13637500,5.758927
"HAPV3",2018-06-26,5.914,6,5.81,5.924,2298500,5.782352
"HAPV3",2018-06-27,5.94,6.05,5.822,6,1769500,5.856535
"HAPV3",2018-06-28,6,6.056,5.83,6.056,13831000,5.911197
"HAPV3",2018-06-29,5.972,6.106,5.83,5.978,7384000,5.835061
"HAPV3",2018-07-02,5.876,5.938,5.864,5.88,1320500,5.739406
"HAPV3",2018-07-03,5.922,5.956,5.732,5.84,2137500,5.700361
"HAPV3",2018-07-04,5.918,5.946,5.746,5.858,4814000,5.717931
"HAPV3",2018-07-05,5.858,5.894,5.756,5.84,5866500,5.700361
"HAPV3",2018-07-06,5.84,5.844,5.71,5.71,11536500,5.57347
"HAPV3",2018-07-10,5.746,5.878,5.68,5.752,4219000,5.614465
"HAPV3",2018-07-11,5.722,5.89,5.644,5.742,4077500,5.604704
"HAPV3",2018-07-12,5.73,5.95,5.624,5.946,3530000,5.803827
"HAPV3",2018-07-13,5.948,5.98,5.734,5.764,3343500,5.626178
"HAPV3",2018-07-16,5.766,5.874,5.662,5.7,2601000,5.563709
"HAPV3",2018-07-17,5.744,5.776,5.624,5.674,2290000,5.53833
"HAPV3",2018-07-18,5.662,5.866,5.65,5.866,6666500,5.725739
"HAPV3",2018-07-19,5.84,5.91,5.71,5.818,2540500,5.678888
"HAPV3",2018-07-20,5.9,6.062,5.842,6,5353000,5.856535
"HAPV3",2018-07-23,6.078,6.096,5.922,5.986,2179500,5.842871
"HAPV3",2018-07-24,6.022,6.058,5.948,6.02,2108500,5.876057
"HAPV3",2018-07-25,6.062,6.14,5.736,5.736,9799500,5.598847
"HAPV3",2018-07-26,5.746,5.794,5.46,5.502,6813500,5.370443
"HAPV3",2018-07-27,5.548,5.642,5.466,5.642,2997500,5.507096
"HAPV3",2018-07-30,5.636,5.64,5.45,5.49,4602000,5.358729
"HAPV3",2018-07-31,5.548,5.638,5.42,5.632,6460500,5.497335
"HAPV3",2018-08-01,5.562,5.738,5.56,5.738,1344000,5.6008
"HAPV3",2018-08-02,5.684,5.788,5.684,5.788,954000,5.649605
